trait,fric_rsq,fric_cont,feve_rsq,feve_cont,fdiv_rsq,fdiv_cont,fdis_rsq,fdis_cont
Body length,0.96,0.04,0.51,0.49,0.77,0.23,1,0
Body transverse shape,0.92,0.08,0.19,0.81,0.26,0.74,0.9,0.1
Vertical distribution,0.92,0.08,0.65,0.35,0.65,0.35,0.95,0.05
Feeding guild,0.81,0.19,0.4,0.6,0.45,0.55,0.92,0.08
Migrations,0.95,0.05,0.45,0.55,0.62,0.38,0.97,0.03
