X,Df_Species_Richness,SumOfSqs_Species_Richness,R2_Species_Richness,F_Species_Richness,Pr(>F)_Species_Richness,Df_FRic,SumOfSqs_FRic,R2_FRic,F_FRic,Pr(>F)_FRic,Df_FEve,SumOfSqs_FEve,R2_FEve,F_FEve,Pr(>F)_FEve,Df_FDiv,SumOfSqs_FDiv,R2_FDiv,F_FDiv,Pr(>F)_FDiv,Df_FDis,SumOfSqs_FDis,R2_FDis,F_FDis,Pr(>F)_FDis
region:veg,1,35.00694444444446,0.025343120004021922,2.622748626604846,0.8222222222222222,1,0.0010925594941204597,5.817211370192743e-4,0.05341236139909401,0.9555555555555556,1,0.05702038551200772,0.018243341947925883,1.4529482243394116,0.4222222222222222,1,0.015152932066544444,0.002169013805919438,0.16088531404916484,0.7555555555555555,1,0.026157490324835386,0.005340063471318612,0.4161830727644508,0.7555555555555555
Residual,68,907.625,0.6570710371524808,NA,NA,68,1.390952274981264,0.7405970505917685,NA,NA,68,2.668633437767126,0.8538138053907459,NA,NA,68,6.404558344027244,0.9167582490310429,NA,NA,68,4.273862774557174,0.8725110169369739,NA,NA
Total,71,1381.3194444444448,1,NA,NA,71,1.8781498979368525,1,NA,NA,71,3.125544961814985,1,NA,NA,71,6.986092953945567,1,NA,NA,71,4.898348206032908,1,NA,NA
