X,Df_Species_Richness,SumOfSqs_Species_Richness,R2_Species_Richness,F_Species_Richness,Pr(>F)_Species_Richness,Df_FRic,SumOfSqs_FRic,R2_FRic,F_FRic,Pr(>F)_FRic,Df_FEve,SumOfSqs_FEve,R2_FEve,F_FEve,Pr(>F)_FEve,Df_FDiv,SumOfSqs_FDiv,R2_FDiv,F_FDiv,Pr(>F)_FDiv,Df_FDis,SumOfSqs_FDis,R2_FDis,F_FDis,Pr(>F)_FDis
ipa,2,5.677192982456063,0.004109978329262846,0.3397567322336199,0.9119,2,0.014032206839810546,0.007471292283552513,0.6527582800764481,0.8438,2,0.009165246893598322,0.002932367636866794,0.10903239929883783,0.9225,2,0.15014240413973745,0.021491612712502037,0.8306711599497395,0.5147,2,0.06824670693094781,0.013932596063075658,0.5445159568039875,0.7551
site,5,769.3474310776951,0.5569656129666083,18.416916243154027,0.0036,5,1.0721356772189563,0.5708467031288063,19.949689985598667,1e-4,5,0.4723400945324654,0.1511224763371122,2.24763716197918,0.0993,5,0.801303661596914,0.11469982819858676,1.7733027411261915,0.1606,5,0.8530371749779126,0.17414792478968608,2.722430865374607,0.1984
year,3,97.26388888888766,0.07041375496455593,3.8805634116887107,1e-4,3,0.13337049539318313,0.07101163519466183,4.136137015825872,2e-4,3,0.0769071522298197,0.02460599772820423,0.6099396577969012,0.5921,3,0.5584940131627523,0.07994368480988062,2.059932690332723,0.1106,3,0.15392805199578952,0.03142448138052099,0.8187577518943324,0.4114
Residual,61,509.6422514619883,0.36895321608026893,NA,NA,61,0.655652056323358,0.34909463671860896,NA,NA,61,2.563825358814501,0.8202810678255938,NA,NA,61,5.5128233012677,0.789113935014878,NA,NA,61,3.8227062685386217,0.780407212339559,NA,NA
Total,71,1381.3194444444448,1,NA,NA,71,1.8781498979368525,1,NA,NA,71,3.125544961814985,1,NA,NA,71,6.986092953945567,1,NA,NA,71,4.898348206032908,1,NA,NA
